Facility Name,Location,Service Type,Package/Rate Name,Base Price,Unit,Guests Included,Additional Guest Cost,Peak Hours,Off-Peak Hours,Notes
AdventHealth Sports Park,Kansas,Birthday Party,Sports Party,$500,per party,10,$50,"Peak: Mon-Fri 5pm-close, Weekends all day","Off-peak: Mon-Fri open-5pm","June & July only, Monday-Friday"
AdventHealth Sports Park,Kansas,Birthday Party,Bowling Party,$275,per party,10,$27.50,"Peak: Mon-Fri 5pm-close, Weekends all day","Off-peak: Mon-Fri open-5pm","Ages 5+"
AdventHealth Sports Park,Kansas,Birthday Party,Ultimate Party,$550,per party,10,$55,"Peak: Mon-Fri 5pm-close, Weekends all day","Off-peak: Mon-Fri open-5pm","3-hour party, multiple activities"
Adrenaline Sports Center,Minnesota,Hourly Rental,In-Season Prime,$60,per hour,N/A,N/A,"Mon-Fri 5-10pm, Sat-Sun 8am-8pm","Mon-Fri 3-5pm, Sat-Sun 8-10pm","October through April"
Adrenaline Sports Center,Minnesota,Hourly Rental,In-Season Non-Prime,$45,per hour,N/A,N/A,"Mon-Fri 5-10pm, Sat-Sun 8am-8pm","Mon-Fri 3-5pm, Sat-Sun 8-10pm","October through April"
Adrenaline Sports Center,Minnesota,Hourly Rental,In-Season Daytime,$40,per hour,N/A,N/A,"Mon-Fri 5-10pm, Sat-Sun 8am-8pm","Mon-Fri 7am-3pm, After 10pm","October through April"
Adrenaline Sports Center,Minnesota,Hourly Rental,Off-Season,$40,per hour,N/A,N/A,N/A,All hours,"May through September"
Round Rock Sports Center,Texas,Hourly Rental,Peak Volleyball,$60,per hour,N/A,N/A,"Mon-Fri 5-10pm (Sept-May), Mon-Fri 8am-10pm (May-Aug), Weekends all day","Mon-Fri 8am-5pm (Sept-May only)","Court rental"
Round Rock Sports Center,Texas,Hourly Rental,Peak Half Basketball,$60,per hour,N/A,N/A,"Mon-Fri 5-10pm (Sept-May), Mon-Fri 8am-10pm (May-Aug), Weekends all day","Mon-Fri 8am-5pm (Sept-May only)","Half court"
Round Rock Sports Center,Texas,Hourly Rental,Peak HS Basketball,$100,per hour,N/A,N/A,"Mon-Fri 5-10pm (Sept-May), Mon-Fri 8am-10pm (May-Aug), Weekends all day","Mon-Fri 8am-5pm (Sept-May only)","High school size court"
Round Rock Sports Center,Texas,Hourly Rental,Peak NCAA Basketball,$200,per hour,N/A,N/A,"Mon-Fri 5-10pm (Sept-May), Mon-Fri 8am-10pm (May-Aug), Weekends all day","Mon-Fri 8am-5pm (Sept-May only)","NCAA regulation size"
Round Rock Sports Center,Texas,Hourly Rental,Off-Peak Volleyball,$48,per hour,N/A,N/A,"Mon-Fri 5-10pm (Sept-May), Mon-Fri 8am-10pm (May-Aug), Weekends all day","Mon-Fri 8am-5pm (Sept-May only)","Court rental"
Round Rock Sports Center,Texas,Hourly Rental,Off-Peak Half Basketball,$48,per hour,N/A,N/A,"Mon-Fri 5-10pm (Sept-May), Mon-Fri 8am-10pm (May-Aug), Weekends all day","Mon-Fri 8am-5pm (Sept-May only)","Half court"
Round Rock Sports Center,Texas,Hourly Rental,Off-Peak HS Basketball,$80,per hour,N/A,N/A,"Mon-Fri 5-10pm (Sept-May), Mon-Fri 8am-10pm (May-Aug), Weekends all day","Mon-Fri 8am-5pm (Sept-May only)","High school size court"
Round Rock Sports Center,Texas,Hourly Rental,Off-Peak NCAA Basketball,$160,per hour,N/A,N/A,"Mon-Fri 5-10pm (Sept-May), Mon-Fri 8am-10pm (May-Aug), Weekends all day","Mon-Fri 8am-5pm (Sept-May only)","NCAA regulation size"
SportsHouse Indoor Sports,California,Birthday Party,MVP 16 Pizza Party,$513,per party,16,$29,N/A,N/A,"Includes 2 XL pizzas, drinks, 1hr play + 30min party"
SportsHouse Indoor Sports,California,Birthday Party,MVP 20 Pizza Party,$619,per party,20,$29,N/A,N/A,"Includes 3 XL pizzas, drinks, 1hr play + 30min party"
SportsHouse Indoor Sports,California,Birthday Party,MVP 16 (no food),$429,per party,16,$25,N/A,N/A,"1hr play + 30min party, no food included"
SportsHouse Indoor Sports,California,Birthday Party,MVP 20 (no food),$509,per party,20,$25,N/A,N/A,"1hr play + 30min party, no food included"
SportsHouse Indoor Sports,California,Birthday Party,MVP 8 Courtside,$299,per party,8,$25,N/A,N/A,"Maximum 10 total guests"
SportsHouse Indoor Sports,California,Birthday Party,MVP 8 Field,$380,per party,8,$25,N/A,N/A,"Maximum 10 total guests"
Lancaster University,UK,Membership,Student Peak,£35.80,per month,N/A,N/A,Full access,Weekdays 6am-2:30pm + weekends,"Direct debit pricing"
Lancaster University,UK,Membership,Student Off-Peak,£17.60,per month,N/A,N/A,Full access,Weekdays 6am-2:30pm + weekends,"Direct debit pricing, 51% savings vs peak"
Lancaster University,UK,Membership,Staff Peak,£39.70,per month,N/A,N/A,Full access,Weekdays 6am-2:30pm + weekends,"Direct debit pricing"
Lancaster University,UK,Membership,Staff Off-Peak,£25.85,per month,N/A,N/A,Full access,Weekdays 6am-2:30pm + weekends,"Direct debit pricing, 35% savings vs peak"
Lancaster University,UK,Membership,Community Peak,£46.35,per month,N/A,N/A,Full access,Weekdays 6am-2:30pm + weekends,"Direct debit pricing"
Lancaster University,UK,Membership,Community Off-Peak,£42.25,per month,N/A,N/A,Full access,Weekdays 6am-2:30pm + weekends,"Direct debit pricing, 9% savings vs peak"
Arena Sports,Seattle,Birthday Party,General Package,$385,per party,10,Variable,"Peak: Evenings and weekends","Off-peak: Weekday mornings/afternoons","Estimated based on $38.50 per child"
High Velocity Sports,Various,Birthday Party,Basic Package,$250,per party,10,$25,"Peak: Evenings and weekends","Off-peak: Weekday mornings/afternoons","Includes inflatables and activities"
All American Indoor Sports,Kansas,Birthday Party,Varsity Package,$350,per party,12,$10,"Peak: Evenings and weekends","Off-peak: Weekday mornings/afternoons","Ages 6+"
Next Level Indoor Sports,Various,Birthday Party,All-Star Sports,$425,per party,16,$10,"Peak: Evenings and weekends","Off-peak: Weekday mornings/afternoons","Soccer, cricket, dodgeball included"
All Sportz Long Island,New York,Birthday Party,Rookie Package,$500,per party,12,$27,"Peak: Evenings and weekends","Off-peak: Weekday mornings/afternoons","Sports choice included"
All Sportz Long Island,New York,Birthday Party,Pro Package,$600,per party,12,$27,"Peak: Evenings and weekends","Off-peak: Weekday mornings/afternoons","Enhanced sports package"
Westosha Sports Complex,Wisconsin,Hourly Rental,Weekday Golf Simulator,$35,per hour,N/A,N/A,Weekends $40/hr,Monday-Friday,"10-14% weekend premium"
Westosha Sports Complex,Wisconsin,Hourly Rental,Weekend Golf Simulator,$40,per hour,N/A,N/A,Weekends $40/hr,Monday-Friday,"10-14% weekend premium"
Market Average,National,Hourly Rental,Basic Basketball Court,$65,per hour,N/A,N/A,"Evenings 5-9pm, Weekends","Weekday mornings/afternoons","Mid-tier facility estimate"
Market Average,National,Hourly Rental,Premium Basketball Court,$120,per hour,N/A,N/A,"Evenings 5-9pm, Weekends","Weekday mornings/afternoons","High-end facility estimate"
Market Average,National,Birthday Party,Standard Package,$450,per party,15,$30,"Evenings and weekends","Weekday mornings/afternoons","Market average estimate"
Market Average,National,Membership,Basic Monthly,$55,per month,N/A,N/A,Limited access,Off-peak access only,"Average across surveyed facilities"
Market Average,National,Membership,Premium Monthly,$75,per month,N/A,N/A,Full access,Full access,"Average across surveyed facilities"
